Season,Player,Pos,Age,Tm,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P.1,0-3.1,3-10.1,10-16.1,16-3P.1,3P.1,2P.2,3P.2,%FGA,#,%3PA,3P%,Att.,#.1
2017-2018,Shabazz Muhammad,SG,25,MIL,11,117,0.552,6.6,0.8809999999999999,0.478,0.269,0.09,0.045,0.119,0.5760000000000001,0.7190000000000001,0.444,0.333,0.333,0.375,0.5589999999999999,0.667,0.09,5,0.375,0.667,0,0
2017-2018,Shabazz Napier,PG,26,POR,74,1535,0.42,16.2,0.589,0.192,0.085,0.087,0.226,0.411,0.45,0.5589999999999999,0.222,0.348,0.483,0.376,0.241,0.72,0.002,1,0.156,0.412,0,0
2017-2018,Shane Larkin,PG,25,BOS,54,775,0.384,15.3,0.607,0.242,0.096,0.068,0.201,0.393,0.398,0.528,0.429,0.267,0.273,0.36,0.264,0.774,0.0,0,0.151,0.462,0,0
2017-2018,Shaquille Harrison,PG,24,PHO,23,384,0.476,6.5,0.79,0.677,0.08900000000000001,0.024,0.0,0.21,0.541,0.607,0.091,0.333,0.0,0.231,0.321,1.0,0.081,9,0.269,0.429,1,0
2017-2018,Shaun Livingston,PG,32,GSW,71,1129,0.501,9.3,0.985,0.236,0.192,0.461,0.096,0.015,0.509,0.716,0.47,0.4370000000000001,0.424,0.0,0.529,0.0,0.093,31,0.4,0.0,1,0
2017-2018,Shelvin Mack,PG,27,ORL,69,1365,0.43,13.1,0.664,0.229,0.225,0.118,0.092,0.336,0.473,0.705,0.355,0.327,0.368,0.345,0.32299999999999995,0.688,0.0,0,0.13699999999999998,0.421,0,0
2017-2018,Sindarius Thornwell,SG,23,LAC,73,1156,0.429,10.2,0.738,0.399,0.215,0.052000000000000005,0.073,0.262,0.448,0.505,0.32,0.5,0.471,0.377,0.688,1.0,0.047,7,0.459,0.393,2,0
2017-2018,Skal Labissière,PF,21,SAC,60,1240,0.448,9.9,0.889,0.255,0.31,0.175,0.14800000000000002,0.111,0.459,0.6920000000000001,0.38,0.375,0.324,0.353,0.556,1.0,0.114,46,0.039,1.0,1,0
2017-2018,Solomon Hill,SF,26,NOP,12,187,0.268,16.4,0.488,0.195,0.244,0.0,0.049,0.512,0.35,0.625,0.1,0.0,0.5,0.19,0.28600000000000003,1.0,0.024,1,0.19,0.25,1,0
2017-2018,Spencer Dinwiddie,PG,24,BRK,80,2306,0.387,16.1,0.483,0.233,0.122,0.084,0.045,0.517,0.452,0.574,0.324,0.371,0.316,0.326,0.142,0.596,0.017,12,0.081,0.371,1,0
2017-2018,Stanley Johnson,SF,21,DET,69,1894,0.375,14.8,0.5820000000000001,0.22,0.157,0.084,0.121,0.418,0.439,0.659,0.227,0.34,0.382,0.28600000000000003,0.371,0.97,0.023,10,0.303,0.282,3,0
2017-2018,Stephen Curry,PG,29,GSW,51,1631,0.495,18.4,0.42,0.175,0.065,0.073,0.108,0.58,0.595,0.669,0.429,0.54,0.613,0.423,0.417,0.618,0.001,1,0.134,0.358,8,0
2017-2018,Sterling Brown,SG,22,MIL,54,776,0.4,14.2,0.556,0.268,0.13699999999999998,0.083,0.068,0.444,0.439,0.527,0.25,0.529,0.35700000000000004,0.35200000000000004,0.58,0.938,0.034,5,0.44,0.375,1,0
2017-2018,Steven Adams,C,24,OKC,76,2487,0.629,2.6,0.997,0.708,0.233,0.052000000000000005,0.004,0.003,0.631,0.688,0.494,0.514,0.0,0.0,0.69,0.0,0.242,150,0.0,0.0,2,0
2017-2018,T.J. Leaf,PF,20,IND,53,459,0.471,11.3,0.691,0.36,0.162,0.096,0.07400000000000001,0.309,0.489,0.612,0.318,0.462,0.3,0.429,0.5,1.0,0.051,7,0.333,0.35700000000000004,0,0
2017-2018,T.J. McConnell,PG,25,PHI,76,1706,0.499,10.8,0.853,0.233,0.247,0.278,0.095,0.147,0.51,0.6629999999999999,0.481,0.444,0.4,0.435,0.311,1.0,0.0,0,0.371,0.609,4,0
